San Jose ,San Jose ,Carmen ,
Cartago ,La Unión ,San Ramón ,
Cartago ,La Unión ,Río Azul ,
Cartago ,Jiménez ,Juan Viñas ,
Cartago ,Jiménez ,Tucurrique ,
Cartago ,Jiménez ,Pejibaye ,
Cartago ,Turrialba ,Turrialba ,
Cartago ,Turrialba ,La Suiza ,
Cartago ,Turrialba ,Peralta ,
Cartago ,Turrialba ,Santa Cruz ,
Cartago ,Turrialba ,Santa teresita ,
Cartago ,Turrialba ,Pavones ,
Cartago ,Turrialba ,Tuis ,
Cartago ,Turrialba ,Tayutic ,
Cartago ,Turrialba ,Santa Rosa ,
Cartago ,Turrialba ,Tres Equis ,
Cartago ,Turrialba ,La Isabel ,
Cartago ,Turrialba ,Chirripó ,
Cartago ,Alvarado ,Pacayas ,
Cartago ,Alvarado ,Cervantes ,
Cartago ,Alvarado ,Capellades ,
Cartago ,Oreamuno ,San rafael ,
Cartago ,Oreamuno ,Cuna ,
Cartago ,Oreamuno ,Potrero Cerrado ,
Cartago ,Oreamuno ,Cipreses ,
Cartago ,Oreamuno ,Santa Rosa ,
Cartago ,El Guarco ,Tejar ,
Cartago ,El Guarco ,San Isidro ,
Cartago ,El Guarco ,Tobosi ,
Cartago ,El Guarco ,Patio de Agua ,
Heredia ,Heredia ,Heredia ,
Heredia ,Heredia ,Mercedes ,
Heredia ,Heredia ,San Francisco ,
Heredia ,Heredia ,Ulloa ,
Heredia ,Heredia ,Varablanca ,
Heredia ,Barva ,Barva ,
Heredia ,Barva ,San Pedro ,
Heredia ,Barva ,San Pablo ,
Heredia ,Barva ,San Roque ,
Heredia ,Barva ,Santa Lucía ,
Heredia ,Barva ,San José de la Montaña ,
Heredia ,Santo Domingo ,Santo Domingo ,
Heredia ,Santo Domingo ,San Vicente ,
Heredia ,Santo Domingo ,San Miguel ,
Heredia ,Santo Domingo ,Paracito ,
Heredia ,Santo Domingo ,Santo Tomás ,
Heredia ,Santo Domingo ,Santa Rosa ,
Heredia ,Santo Domingo ,Tures ,
Heredia ,Santo Domingo ,Paraca ,
Heredia ,Santa Bárbara ,Santa Bárbara ,
Heredia ,Santa Bárbara ,San Pedro ,
Heredia ,Santa Bárbara ,San Juan ,
Heredia ,Santa Bárbara ,Jesús ,
Heredia ,Santa Bárbara ,Santo Domingo ,
Heredia ,Santa Bárbara ,Puraba ,
Heredia ,San rafael ,San rafael ,
Heredia ,San rafael ,San Josécito ,
Heredia ,San rafael ,Santiago ,
Heredia ,San rafael ,Ángeles ,
Heredia ,San rafael ,Concepción ,
Heredia ,San Isidro ,San Isidro ,
Heredia ,San Isidro ,San Jose ,
Heredia ,San Isidro ,Concepción ,
Heredia ,San Isidro ,San Francisco ,
Heredia ,Belén ,San Antonio ,
Heredia ,Belén ,La ribera ,
Heredia ,Belén ,La Asunción ,
Heredia ,Flores ,San Joaquín ,
Heredia ,Flores ,Barrantes ,
Heredia ,Flores ,Llorente ,
Heredia ,San Pablo ,San Pablo ,
Heredia ,San Pablo ,Rincón de Sabanilla ,
Heredia ,Sarapiquí ,Puerto Viejo ,
Heredia ,Sarapiquí ,La Virgen ,
Heredia ,Sarapiquí ,Horquetas ,
Heredia ,Sarapiquí ,Llanuras del Gaspar ,
Heredia ,Sarapiquí ,Cureña ,
Guanacaste ,Liberia ,Liberia ,
Guanacaste ,Liberia ,Cañas Dulces ,
Guanacaste ,Liberia ,Mayorga ,
Guanacaste ,Liberia ,Nacascolo ,
Guanacaste ,Liberia ,Curubandé ,
Guanacaste ,Nicoya ,Nicoya ,
Guanacaste ,Nicoya ,Mansión ,
Guanacaste ,Nicoya ,San Antonio ,
Guanacaste ,Nicoya ,Quebrada Honda ,
Guanacaste ,Nicoya ,Samara ,
Guanacaste ,Nicoya ,Nosara ,
Guanacaste ,Nicoya ,Belén de Nosarita ,
Guanacaste ,Santa Cruz ,Santa Cruz ,
Guanacaste ,Santa Cruz ,Bolsón ,
Guanacaste ,Santa Cruz ,Veintisiete de Abril,
Guanacaste ,Santa Cruz ,Tempate ,
Guanacaste ,Santa Cruz ,Cartagena ,
Guanacaste ,Santa Cruz ,Cuajiniquil ,
Guanacaste ,Santa Cruz ,Diria ,
Guanacaste ,Santa Cruz ,Cabo Velas ,
Guanacaste ,Santa Cruz ,Tamarindo ,
Guanacaste ,Bagaces ,Bagaces ,
Guanacaste ,Bagaces ,Fortuna ,
Guanacaste ,Bagaces ,Mogote ,
Guanacaste ,Bagaces ,Río Naranjo ,
Guanacaste ,Carrillo ,Filadelfia ,
Guanacaste ,Carrillo ,Palmira ,
Guanacaste ,Carrillo ,Sardinal ,
Guanacaste ,Carrillo ,Belén ,
Guanacaste ,Cañas ,Cañas ,
Guanacaste ,Cañas ,Palmira ,
Guanacaste ,Cañas ,San Miguel ,
Guanacaste ,Cañas ,Bebedero ,
Guanacaste ,Cañas ,Porozal ,
Guanacaste ,Abangares ,Juntas ,
Guanacaste ,Abangares ,Sierra ,
Guanacaste ,Abangares ,San Juan ,
Guanacaste ,Abangares ,Colorado ,
Guanacaste ,Tilarán ,Tilarán ,
Guanacaste ,Tilarán ,Quebrada Grande ,
Guanacaste ,Tilarán ,Tronadora ,
Guanacaste ,Tilarán ,Santa Rosa ,
Guanacaste ,Tilarán ,Líbano ,
Guanacaste ,Tilarán ,Tierras Morenas ,
Guanacaste ,Tilarán ,Arenal ,
Guanacaste ,Nandayure ,Carmona ,
Guanacaste ,Nandayure ,Santa rita ,
Guanacaste ,Nandayure ,Zapotal ,
Guanacaste ,Nandayure ,San Pablo ,
Guanacaste ,Nandayure ,Porvenir ,
Guanacaste ,Nandayure ,Bejuco ,
Guanacaste ,La Cruz ,La Cruz ,
Guanacaste ,La Cruz ,Santa cecilia ,
Guanacaste ,La Cruz ,Garita ,
Guanacaste ,La Cruz ,Santa elena ,
Guanacaste ,Hojancha ,Hojancha ,
Guanacaste ,Hojancha ,Monte Romo ,
Guanacaste ,Hojancha ,Puerto Carrillo ,
Guanacaste ,Hojancha ,Huacas ,
Puntarenas ,Puntarenas ,Puntarenas ,
Puntarenas ,Puntarenas ,Pitahaya ,
Puntarenas ,Puntarenas ,Chomes ,
Puntarenas ,Puntarenas ,Lepanto ,
Puntarenas ,Puntarenas ,Paquera ,
Puntarenas ,Puntarenas ,Manzanillo ,
Puntarenas ,Puntarenas ,Guacimal ,
Puntarenas ,Puntarenas ,Barranca ,
Puntarenas ,Puntarenas ,Monte Verde ,
Puntarenas ,Puntarenas ,Isla del Coco ,
Puntarenas ,Puntarenas ,Cóbano ,
Puntarenas ,Puntarenas ,Chacarita ,
Puntarenas ,Puntarenas ,Chira ,
Puntarenas ,Puntarenas ,Acapulco ,
Puntarenas ,Puntarenas ,El Roble ,
Puntarenas ,Puntarenas ,Arancibia ,
Puntarenas ,Esparza ,Espíritu Santo ,
Puntarenas ,Esparza ,San Juan Grande ,
Puntarenas ,Esparza ,Macacona ,
Puntarenas ,Esparza ,San rafael ,
Puntarenas ,Esparza ,San Jerónimo ,
Puntarenas ,Esparza ,Caldera ,
Puntarenas ,Buenos Aires ,Buenos Aires ,
Puntarenas ,Buenos Aires ,Volcán ,
Puntarenas ,Buenos Aires ,Potrero Grande ,
Puntarenas ,Buenos Aires ,Boruca ,
Puntarenas ,Buenos Aires ,Pilas ,
Puntarenas ,Buenos Aires ,Colinas ,
Puntarenas ,Buenos Aires ,Changena ,
Puntarenas ,Buenos Aires ,Briolley ,
Puntarenas ,Buenos Aires ,Brunka ,
Puntarenas ,Montes de Oro ,Miramar ,
Puntarenas ,Montes de Oro ,La Unión ,
Puntarenas ,Montes de Oro ,San Isidro ,
Puntarenas ,Osa ,Puerto Cortés ,
Puntarenas ,Osa ,De la palma ,
Puntarenas ,Osa ,Sierpe ,
Puntarenas ,Osa ,Bahía Ballena ,
Puntarenas ,Osa ,Piedras Blancas ,
Puntarenas ,Osa ,Bahía Drake ,
Puntarenas ,Quepos ,Quepos ,
Puntarenas ,Quepos ,Savegre ,
Puntarenas ,Quepos ,Naranjito ,
Puntarenas ,Golfito ,Golfito ,
Puntarenas ,Golfito ,Puerto Jiménez ,
Puntarenas ,Golfito ,Guaycará ,
Puntarenas ,Golfito ,Pavón ,
Puntarenas ,Coto Brus ,San Vito ,
Puntarenas ,Coto Brus ,Sabalito ,
Puntarenas ,Coto Brus ,Aguabuena ,
Puntarenas ,Coto Brus ,Limóncito ,
Puntarenas ,Coto Brus ,Pittier ,
Puntarenas ,Coto Brus ,Gutiérrez Braun ,
Puntarenas ,Parrita ,Parrita ,
Puntarenas ,Corredores ,Corredor ,
Puntarenas ,Corredores ,La Cuesta ,
Puntarenas ,Corredores ,Canoas ,
Puntarenas ,Corredores ,Laurel ,
Puntarenas ,Garabito ,Jacó ,
Puntarenas ,Garabito ,Tarcoles ,
Limón ,Limón ,Limón ,
Limón ,Limón ,Valle La Estrella ,
Limón ,Limón ,Río Blanco ,
Limón ,Limón ,Matama ,
Limón ,Pococí ,Guápiles ,
Limón ,Pococí ,Jiménez ,
Limón ,Pococí ,La Rita ,
Limón ,Pococí ,Roxana , 
Limón ,Pococí ,Cariari ,
Limón ,Pococí ,Colorado ,
Limón ,Pococí ,La Colonia ,
Limón ,Siquirres ,Siquirres ,
Limón ,Siquirres ,Pacuarito ,
Limón ,Siquirres ,Florida ,
Limón ,Siquirres ,Germania ,
Limón ,Siquirres ,El Cairo ,
Limón ,Siquirres ,Alegría ,
Limón ,Talamanca ,Bratsi ,
Limón ,Talamanca ,Sixaola ,
Limón ,Talamanca ,Cahuita ,
Limón ,Talamanca ,Telire ,
Limón ,Matina ,Matina ,
Limón ,Matina ,Batán ,
Limón ,Matina ,Carrandi ,
Limón ,Guácimo ,Guácimo ,
Limón ,Guácimo ,Mercedes ,
Limón ,Guácimo ,Pocora ,
Limón ,Guácimo ,Río Jiménez ,
Limón ,Guácimo ,Duacarí ,
